Category,d100,Injury Type,Description,Lowest level cure(s),Duration (if untreated),Additional notes
Special effect,82,Muscle memory,"Whilst you are unconcious, an ally feed you a potion as a bonus action.",,Until concious,
Special effect,83,Reactive armour,"If you are wearing armour, the attacker takes 1d8 piercing damage as a result of attacking you.",,Instant,Example: shrapnel from your armour
Special effect,84,Death grip,Make a grapple check contested with your attacker. On a success they are knocked prone next to you.,,Instant,
Minor boon,85,Remember me?,You have advantage on the next attack roll against the creature that just incapacitated you.,,Until short/long rest,
Minor boon,86,I thought you were dead,The creature that just incapacitated you will have disadvantage on their next attack roll against you.,,Until short/long rest,
Minor boon,87,Confident comeback,The next attack has disadvantage on you.,,Until short/long rest,
Minor boon,88,Dead-eye,You have advantage on your next attack roll.,,Until short/long rest,
Minor boon,89,Ready for round two,You have advantage on your next saving throw.,,Until short/long rest,
Memorable Scars,90,Memorable scar on body,Advantage on appropriate Intimidation checks.,,Forever,
Memorable Scars,91,Impressive scar on body,Advantage on appropriate Intimidation checks and persuasion checks.,,Forever,
Memorable Scars,92,Impressive scar on armour,Advantage on appropriate Intimidation checks and persuasion checks.,,Forever,Must be weaing said armour.
Survivability,93,Exaggerated Wound,Your attacker assumes the worst for you. They will not attack you whilst you are incapacitated.,,Until concious,
Survivability,94,Exaggerated Wound+,Enemies assume the worst for you. They will not attack you whilst you are incapacitated.,,Until concious,
Survivability,95,Second Wind-,Start with one successful death save.,,Until stable/concious,
Survivability,96,Second Wind,Advantage on death saving throws,,Until stable/concious,
Survivability,97,Second Wind+,Advantage on death saving throws and start with one successful death save.,,Until stable/concious,
Survivability+,98,Unexpected KO,You will be stabilised after one successful death save.,,Until stable,
Survivability+,99,Unexpected KO+,You are instantly stabilised,,Instant,You will naturally regain conciousness in 1d4 hours
Resist Death,100,Adrenaline Rush,"At the start of your turn, you regain health equal to 1 hit dice + CON modifier",,Until your turn,"You're back in the fight, but prone."
