Attribute_Category,Attribute_Name,Attribute_Code,Value_Range,Description,Combat_Application,Investigation_Application,Daily_Life_Application,Progression_Method
LSW_Classification,Tertiary_Power,POWER_3,300+ power options,Third superhuman ability (rare),Tertiary combat capability,Tertiary investigation specialty,Complex identity management,Rare acquisition through extreme circumstances
Personal_Identity,Real_Name,NAME_REAL,Text field,Character's birth name,No direct combat effect,Investigation identity management,Legal name for official documents,Fixed at creation unless legal name change
Personal_Identity,Code_Name,NAME_CODE,Text field,Superhero/villain identity name,Public identity for reputation tracking,Public investigation persona,Media and public recognition name,Can be changed but affects reputation continuity
Personal_Identity,Secret_Identity,SECRET_ID,Boolean,Whether character maintains civilian life,Affects availability for missions,Affects investigation cover options,Determines civilian life obligations,Can be lost through exposure or choice
Personal_Identity,Age,AGE,15-80+,Character's chronological age,Affects stat maximums and minimums,Age affects social investigation approaches,Determines life experience and social context,Ages naturally; can be affected by time powers
Personal_Identity,Nationality,NATIONALITY,170+ countries,Country of birth/citizenship,Affects international operation authority,Affects investigation jurisdiction and methods,Determines cultural background and language,Fixed unless citizenship change
Personal_Identity,Current_Location,LOCATION,Global coordinates,Where character currently is,Determines combat environment possibilities,Affects investigation availability and methods,Determines daily life context and opportunities,Changes based on travel and mission assignments
Career_Education,Career_Path,CAREER,7 career categories,Professional specialization,Affects equipment access and tactical bonuses,Major investigation method bonuses,Determines income and social connections,Advanced through experience and training
Career_Education,Career_Rank,CAREER_RANK,1-5,Professional advancement level,Unlocks advanced equipment and tactics,Unlocks advanced investigation methods,Determines professional authority and resources,Advanced through experience and achievement
Career_Education,Education_Level,EDUCATION,1-5,Formal education achievement,Affects learning speed and technical abilities,Affects analytical investigation capabilities,Determines social status and opportunities,Advanced through academic achievement
Career_Education,Specialization,SPECIALIZATION,Career-specific,Area of expertise within career,Provides specific tactical and equipment bonuses,Provides specific investigation expertise,Determines professional reputation and connections,Developed through focused experience
Skills_Talents,Combat_Skills,SKILLS_COMBAT,75+ skill options,Fighting and weapon proficiencies,Direct combat bonuses and tactical options,Some skills provide investigation bonuses,Affects self-defense and security capabilities,Advanced through training and practice
Skills_Talents,Professional_Skills,SKILLS_PROF,75+ skill options,Career and technical abilities,Indirect combat support (repair; medical; technical),Major investigation method bonuses,Determines professional competence,Advanced through education and experience
Skills_Talents,Social_Skills,SKILLS_SOCIAL,75+ skill options,Interaction and communication abilities,Affects team coordination and leadership,Major social investigation bonuses,Determines relationship building and influence,Advanced through social experience
Skills_Talents,Knowledge_Skills,SKILLS_KNOW,75+ skill options,Academic and specialized knowledge,Provides tactical intelligence and planning,Academic investigation bonuses,Determines intellectual capabilities and interests,Advanced through study and research
Equipment_Inventory,Weapons,WEAPONS,Weapon database,Carried weapons and ammunition,Primary combat tools,Investigation tool options,Personal protection,Purchased; found; issued; or created
Equipment_Inventory,Armor,ARMOR,Armor database,Protective gear and condition,Primary defense against damage,Protective gear for dangerous investigation,Personal safety equipment,Purchased; issued; or created with condition tracking
Equipment_Inventory,Vehicles,VEHICLES,Vehicle database,Transportation options,Mobile combat platform,Investigation transportation,Personal and team mobility,Purchased; borrowed; issued; or stolen
Equipment_Inventory,Technology,TECHNOLOGY,Technology database,Advanced equipment and gadgets,Combat support and enhancement,Investigation tools and analysis equipment,Quality of life and capability enhancement,Researched; purchased; or created through technology trees
Equipment_Inventory,Personal_Items,PERSONAL,Misc items,Personal belongings and civilian items,Limited combat utility,Cover identity support,Personal life maintenance,Personal acquisition and maintenance
Financial_Resources,Personal_Wealth,WEALTH,Currency amount,Individual financial resources,Equipment purchase and maintenance,Investigation resource funding,Personal lifestyle maintenance,Earned through missions; career; investments
Financial_Resources,Faction_Funding,FACTION_FUNDS,Currency amount,Organization financial support,Equipment and operational funding,Investigation operational funding,Team operational expenses,Provided by faction based on performance and authority
Financial_Resources,Legal_Status,LEGAL,Legal standing,Criminal record and legal issues,Affects equipment access and authority,Affects investigation authority and cooperation,Determines legal protections and restrictions,Affected by mission outcomes and legal consequences
Financial_Resources,Insurance_Coverage,INSURANCE,Coverage types,Legal and medical protection,Combat injury and equipment coverage,Investigation liability coverage,Personal life protection,Purchased or provided; affected by risk level
Relationships,Team_Relationships,TEAM_REL,Team member relationship ratings,Relationships with other team members,Team coordination bonuses in combat,Team investigation cooperation bonuses,Personal happiness and team morale,Develops through shared experiences
Relationships,Contact_Network,CONTACTS,Contact database,Professional and personal contacts,Intelligence and equipment source contacts,Investigation information sources,Social and professional opportunities,Developed through career and social activities
Relationships,Faction_Standing,FACTION_STAND,Faction relationship ratings,Standing with various factions,Affects faction cooperation in combat,Affects faction information sharing,Determines faction mission opportunities,Affected by mission performance and political choices
Relationships,Public_Reputation,PUBLIC_REP,Reputation ratings,Public opinion across different scales,Affects civilian cooperation and authority,Affects witness cooperation and information access,Determines celebrity status and public life,Affected by mission outcomes and media coverage
Health_Status,Current_Health,HEALTH,0 to maximum,Physical condition and injury level,Determines combat effectiveness and survival,Affects investigation physical capability,Affects daily life quality and activity capability,Recovers through rest; medical treatment; powers
Health_Status,Status_Effects,STATUS,Active effect list,Current conditions affecting character,Direct combat penalties and bonuses,Investigation capability modifications,Daily life restrictions and modifications,Applied through combat; environment; powers; removed through treatment
Health_Status,Injury_History,INJURIES,Injury record,Permanent injuries and medical history,Permanent combat modifications,Investigation limitations from permanent injuries,Life quality and capability restrictions,Accumulated through combat and accidents
Health_Status,Mental_State,MENTAL,Psychological condition,Stress; trauma; and mental health,Affects decision making and power control,Affects investigation judgment and social interaction,Determines personal happiness and stability,Affected by traumatic experiences; improved through therapy
STAM_Evaluation,Personality_Rating,PERSONALITY,1-10 scale,Volatility and emotional stability for STAM calculation,Affects power control and decision making under stress,Affects investigation social interaction and judgment,Determines relationship stability and life satisfaction,Can change through experience and therapy
STAM_Evaluation,Motivation_Rating,MOTIVATION,1-10 scale,Moral compass and intentions for STAM calculation,Affects tactical choices and collateral damage decisions,Affects investigation ethical choices and methods,Determines life goals and decision framework,Can evolve through experience and moral choices
STAM_Evaluation,Harm_Potential_Rating,HARM_POTENTIAL,1-10 scale,Capacity for causing damage for STAM calculation,Official assessment of damage capability,Official assessment of investigation authority,Determines public safety restrictions and monitoring,Reassessed based on power development and incident history
Background_History,Origin_Story,ORIGIN_STORY,Text narrative,How character gained powers,Affects power limitations and vulnerabilities,Affects investigation specialties and methods,Determines personal motivation and relationships,Fixed backstory; can be revealed through investigation
Background_History,Personal_History,PERSONAL_HIST,Text narrative,Life experiences and relationships,Affects social skills and contact network,Affects investigation contact network and cultural knowledge,Determines personality and relationship patterns,Accumulated through gameplay and character development
Background_History,Criminal_Record,CRIMINAL_REC,Legal record,Past legal issues and convictions,Affects legal authority and equipment access,Affects law enforcement cooperation,Determines social restrictions and opportunities,Accumulated through choices and legal consequences
Background_History,Military_Service,MILITARY_SERV,Service record,Military experience and training,Affects combat skills and tactical knowledge,Affects military investigation cooperation,Determines veteran benefits and military connections,Based on career choices and background
Advancement_Tracking,Experience_Points,XP,Numerical total,Learning and development points,Determines combat skill advancement,Determines investigation skill development,Determines personal growth and capability expansion,Earned through missions; training; life experiences
Advancement_Tracking,Training_Progress,TRAINING,Active training tracking,Current skill and ability development,Combat training improves fighting capabilities,Investigation training improves case-solving capabilities,Personal development improves life satisfaction,Tracking current training activities and progress
Advancement_Tracking,Research_Projects,RESEARCH,Active research tracking,Current technology and knowledge development,Combat equipment and power enhancement research,Investigation tool and method research,Quality of life and capability research,Tracking current research activities and collaboration
Advancement_Tracking,Mission_History,MISSIONS,Mission record,Completed operations and their outcomes,Combat experience affects tactical decision making,Investigation experience affects case-solving approach,Mission success affects reputation and opportunities,Historical record of character's operational achievements
