Email_ID,Priority_Level,Subject_Template,Sender_Type,Investigation_Type,Urgency_Hours,Body_Template,Response_Options,Auto_Expire
EMAIL_013,Critical,University Research Crisis,Dean of Research,Academic Conspiracy,12,"Dean {Contact_Name}, {University_Name}. Our LSW research program has been compromised. Unauthorized experiments are being conducted and student volunteers have gone missing. We need immediate intervention before this becomes a public scandal or worse.",Emergency Investigation;Student Safety;Research Shutdown;Media Containment,Yes
EMAIL_014,Low,Resort Security Concern,Resort Manager,Resort Security Breach,84,"Manager {Contact_Name}, {Resort_Name}. We've noticed unusual activity among our high-profile guests. International visitors with suspected LSW abilities are conducting private meetings. While not illegal, the security implications concern us.",Guest Surveillance;Security Assessment;Diplomatic Inquiry;Background Checks,No
EMAIL_015,Medium,Rural Community Emergency,Village Elder,Rural Phenomenon,48,"Elder {Contact_Name} from {Village_Name}. Strange events plague our community. Livestock behave oddly, crops fail in patterns, and villagers report seeing impossible things. City authorities dismiss us, but we know something unnatural occurs here.",Rural Investigation;Agricultural Analysis;Phenomenon Research;Community Support,No
EMAIL_016,High,Media Manipulation Detected,Journalist Contact,Media Manipulation,36,"Investigative journalist {Contact_Name} here. I've uncovered evidence of systematic LSW misinformation being spread through major media outlets. Someone is controlling the narrative about LSW activities. This affects public perception of all our work.",Media Investigation;Information Warfare;Journalism Protection;Counter-Propaganda,Yes
EMAIL_017,Critical,Environmental Disaster,Environmental Agency,Environmental Disaster,8,"Emergency Coordinator {Contact_Name}. Industrial 'accident' has created environmental catastrophe in {Location_Name}. Preliminary analysis suggests LSW sabotage. Ecosystem collapse imminent if not contained immediately. Multiple species at risk.",Environmental Response;Disaster Containment;Sabotage Investigation;Ecosystem Recovery,Yes
EMAIL_018,Medium,Student Recruitment Warning,Campus Security,Student Radicalization,72,"Security Chief {Contact_Name}, {University_Name}. We've identified suspicious recruitment activity targeting LSW students. Extremist organizations are promising enhanced training and purpose. Several students have already disappeared from campus.",Student Protection;Campus Investigation;Extremist Infiltration;Counter-Recruitment,No
EMAIL_019,Low,Cultural Exchange Opportunity,Cultural Attaché,Cultural Exchange,168,"Cultural Attaché {Contact_Name} here. We're organizing cultural exchange programs that could provide excellent cover for intelligence gathering. The program includes access to restricted cultural sites and government officials. Interested in participation?",Cultural Program;Intelligence Gathering;Diplomatic Cover;Educational Exchange,No
EMAIL_020,High,Underground Network Contact,Anonymous Contact,Underground Network,24,"You don't know me, but I know your work. I represent certain underground interests that could be mutually beneficial. We have information about LSW trafficking that authorities won't touch. Meet at {Location} if interested. Come alone.",Underground Meeting;Information Exchange;Criminal Contact;Security Assessment,Yes
EMAIL_021,Critical,Terrorist Threat Intelligence,Counter-Terrorism Unit,Security Threat,6,"Counter-Terror Agent {Contact_Name}. Intercepted communications indicate imminent terrorist attack using LSW operatives. Target appears to be {Location_Name}. Attack planned within hours. Need immediate LSW response team deployment to prevent catastrophe.",Emergency Response;Threat Assessment;Evacuation Protocol;Counter-Terror Operation,Yes
EMAIL_022,Medium,Economic Espionage Detected,Financial Intelligence,Economic Intelligence,48,"Financial Analyst {Contact_Name}. Unusual market movements suggest LSW-enhanced economic espionage against {Country_Name}. Foreign factions may be manipulating markets using enhanced individuals. Investigation needed to prevent economic warfare.",Economic Investigation;Market Analysis;Financial Security;Trade Protection,No
EMAIL_023,Low,Archaeological Discovery,Archaeologist Contact,Archaeological Mystery,120,"Dr. {Contact_Name}, lead archaeologist at {Site_Name}. Recent excavations have uncovered artifacts that don't match any known technology or culture. Some artifacts appear to respond to LSW abilities. We need expert consultation on these anomalous findings.",Archaeological Investigation;Artifact Analysis;Historical Research;Scientific Collaboration,No
EMAIL_024,High,Pandemic Preparation,Health Ministry,Biological Threat,30,"Health Minister {Contact_Name}. We've detected unusual biological signatures that may indicate weaponized pathogens designed to target LSWs specifically. If confirmed, this represents an existential threat to all enhanced individuals globally.",Biological Investigation;Medical Research;Pandemic Preparation;Global Health Alert,Yes
EMAIL_025,Critical,Reality Breach Warning,Dimensional Research,Reality Anomaly,4,"Dr. {Contact_Name}, Dimensional Physics Institute. URGENT: Reality breach detected at coordinates {Location}. Dimensional barriers weakening. Multiple timeline convergence imminent. Reality itself at risk. Need immediate intervention by time-capable LSWs.",Reality Stabilization;Dimensional Investigation;Timeline Protection;Emergency Deployment,Yes
