Tech_Tree_ID,Tree_Name,Required_Career_Category,Required_Career_Rank,Tech_Node_Name,Prerequisites,Research_Time_Days,Resource_Cost,Country_Education_Modifier,Description,Unlocks_Equipment,Unlocks_Abilities,Team_Benefits
ART_004,Media Technology,Visual & Performance Arts,3,Script Analysis,Media Production,21,Medium,+25% if country has film industry,Understanding narrative and motivation,Psychological Profile Kit,+4CS predicting enemy behavior,Team gets enemy intel bonuses
ART_005,Media Technology,Visual & Performance Arts,4,Film Direction,Script Analysis + Performance Training,35,High,+35% if country has entertainment industry,Mass media influence and control,Studio Complex,Control news coverage of LSW activities,Shape international relations through media
LIB_001,Information Systems,Liberal Arts,1,Research Methods,None,7,Low,+15% if country has education system,Enhanced information gathering techniques,Research Database,+2CS all knowledge-based investigations,Team learning speed increased
LIB_002,Information Systems,Liberal Arts,1,Journalism,None,10,Low,+20% if country has press freedom,Investigative reporting and information networks,Press Credentials,+3CS gathering information from contacts,Access to insider information
LIB_003,Information Systems,Liberal Arts,2,Political Science,Research Methods,18,Medium,+25% if country has stable government,Understanding of political systems and power,Political Analysis Software,+4CS predicting government actions,Diplomatic immunity in allied countries
LIB_004,Information Systems,Liberal Arts,2,Public Relations,Journalism + Research Methods,16,Medium,+20% if country values transparency,Managing public image and relations,PR Campaign Kit,Control faction reputation globally,Improved recruitment success rates
LIB_005,Information Systems,Liberal Arts,5,Presidential Authority,Political Science + Public Relations,60,Ultra High,Only available to faction leaders,Ultimate political power and influence,Executive Authority,Command military and intelligence assets,Global political influence
ENG_001,Mechanical Technology,Engineering/Tech,1,Basic Engineering,None,10,Low,+20% if country has industrial base,Fundamental engineering and repair skills,Engineering Toolkit,+2CS equipment repair and modification,Reduce equipment downtime
ENG_002,Mechanical Technology,Engineering/Tech,1,Computer Systems,None,12,Low,+25% if country has digital infrastructure,Computer operation and basic hacking,Laptop and Software,+2CS digital investigations,Team digital security enhanced
ENG_003,Mechanical Technology,Engineering/Tech,2,Advanced Architecture,Basic Engineering,20,Medium,+30% if country has construction industry,Structural engineering and facility design,Drafting Equipment,Can design and build bases,Team gets fortified headquarters
ENG_004,Mechanical Technology,Engineering/Tech,2,Software Development,Computer Systems,18,Medium,+35% if country has tech sector,Advanced programming and system creation,Development Workstation,+3CS hacking and system control,Team gets custom tactical software
ENG_005,Mechanical Technology,Engineering/Tech,3,Weapons Engineering,Basic Engineering + Software Development,25,High,+40% if country has defense industry,Design and modify advanced weapons,Weapons Lab,Create custom weapons for team,Team equipment effectiveness +25%
ENG_006,Mechanical Technology,Engineering/Tech,3,Cybersecurity,Software Development + Computer Systems,22,High,+45% if country has cyber capabilities,Advanced digital defense and attack,Cyber Warfare Suite,+4CS hacking; immune to digital attacks,Team digital operations security
ENG_007,Mechanical Technology,Engineering/Tech,4,Robotics Engineering,Weapons Engineering + Cybersecurity,40,Very High,+50% if country has robotics industry,Advanced robotics and AI systems,Robotics Workshop,Create robotic assistants and drones,Team gets robotic support units
ENG_008,Mechanical Technology,Engineering/Tech,4,Aerospace Engineering,Advanced Architecture + Robotics Engineering,45,Very High,+60% if country has space program,Aircraft and spacecraft design,Aerospace Facility,Create custom vehicles and aircraft,Team gets advanced transportation
ENG_009,Mechanical Technology,Engineering/Tech,5,Nuclear Physics,Aerospace Engineering + 2 other Rank 4 techs,65,Ultra High,Only available to nuclear powers,Ultimate energy and weapons technology,Nuclear Laboratory,Create nuclear-powered equipment,Team gets ultimate energy weapons
BUS_001,Economic Systems,Business,1,Basic Accounting,None,8,Low,+15% if country has stable economy,Financial management and resource tracking,Accounting Software,+20% resource generation efficiency,Team operating costs reduced
BUS_002,Economic Systems,Business,1,Marketing,None,6,Low,+10% if country has consumer market,Promotion and public relations,Marketing Campaign,+2CS recruitment success,Improved faction reputation growth
BUS_003,Economic Systems,Business,2,Human Resources,Basic Accounting,15,Medium,+20% if country values worker rights,Personnel management and recruitment,HR Database,+25% character recruitment success,Team loyalty and morale bonuses
BUS_004,Economic Systems,Business,2,Economic Analysis,Marketing + Basic Accounting,18,Medium,+25% if country has financial sector,Market analysis and investment strategies,Financial Analysis Tools,+30% investment returns,Team gets passive income streams
BUS_005,Economic Systems,Business,3,Corporate Management,Human Resources + Economic Analysis,28,High,+35% if country has corporate culture,Large-scale business operations,Corporate Headquarters,Manage multiple teams simultaneously,Can run parallel operations
BUS_006,Economic Systems,Business,4,CEO Operations,Corporate Management + 1 other tree,42,Very High,+50% if country is economic powerhouse,Ultimate corporate control and influence,Executive Suite,Control international corporations,Global economic influence
BUS_007,Economic Systems,Business,5,Megacorp Empire,CEO Operations + Presidential Authority,80,Ultra High,Requires top economic and political power,Ultimate economic and political control,Global Corporate Network,Control world economy,Ultimate strategic advantage
PSY_001,Mental Sciences,Psychology,1,Counseling,None,9,Low,+15% if country values mental health,Basic psychological support and analysis,Counseling Office,+2CS team morale management,Team stress and trauma recovery
PSY_002,Mental Sciences,Psychology,1,Religious Studies,None,8,Low,+20% if country has religious freedom,Understanding of belief systems and motivation,Religious Texts and Symbols,+2CS cultural investigation bonuses,Team spiritual/cultural knowledge
PSY_003,Mental Sciences,Psychology,2,Clinical Psychology,Counseling,20,Medium,+25% if country has healthcare system,Advanced psychological analysis and therapy,Psychology Lab,+3CS understanding enemy motivations,Team mental health immunity
PSY_004,Mental Sciences,Psychology,3,Criminal Psychology,Clinical Psychology + Religious Studies,30,High,+35% if country has justice system,Understanding criminal minds and behavior,Criminal Profile Database,+4CS predicting criminal actions,Team gets criminal behavior prediction
PSY_005,Mental Sciences,Psychology,4,Psionics Research,Criminal Psychology + Biotech Research,55,Very High,+60% if country has LSW research programs,Understanding and enhancing mental powers,Psionic Laboratory,Research and enhance psychic LSW powers,Team psychic abilities enhanced
PSY_006,Mental Sciences,Psychology,5,Arcane Mastery,Psionics Research + Mutagenics Research,90,Ultra High,Requires mystical knowledge sources,Ultimate understanding of supernatural forces,Wizard Tower,Grant mystical powers and knowledge,Team gets supernatural abilities
PHY_001,Combat Systems,Physical,1,Basic Training,None,14,Low,+10% if country has military tradition,Fundamental combat and fitness training,Training Facility,+1CS all physical actions,Team fitness and endurance improved
PHY_002,Combat Systems,Physical,1,Security Systems,None,12,Low,+15% if country has law enforcement,Security protocols and protective measures,Security Equipment,+2CS facility defense,Team base security enhanced
PHY_003,Combat Systems,Physical,2,Military Tactics,Basic Training,25,Medium,+25% if country has strong military,Advanced combat coordination and strategy,Tactical Command Center,+3CS team coordination in combat,Team gets tactical combat bonuses
PHY_004,Combat Systems,Physical,2,Advanced Security,Security Systems + Basic Training,20,Medium,+20% if country has intelligence services,High-level protective and surveillance systems,Surveillance Network,+3CS detecting threats and infiltration,Team gets early warning systems
CROSS_001,Interdisciplinary,Any 2 categories,3,Systems Integration,2 Rank 3 techs from different trees,35,Very High,+40% if country leads in education,Combining different technological approaches,Integration Laboratory,Combine technologies from different trees,Team gets hybrid technology benefits
CROSS_002,Interdisciplinary,Any 3 categories,4,Multidisciplinary Research,3 Rank 4 techs from different trees,60,Ultra High,+60% if country has research universities,Ultimate cross-field research capability,Multidisciplinary Institute,Research cutting-edge combinations,Team gets breakthrough technologies
ALIEN_001,Xenotechnology,Any,Special,Alien Technology Analysis,Encounter with alien technology,Variable,Special Resources,Country science rating determines speed,Reverse engineering alien technology,Xenotech Lab,Analyze and adapt alien equipment,Team gets alien technology access
ALIEN_002,Xenotechnology,Any,Special,Symbiote Research,Encounter with alien symbiotes,Variable,Special Resources,Biotech research speeds this up,Understanding alien-human partnerships,Symbiote Chamber,Research alien symbiote bonds,Team gets enhanced symbiote relationships
TIME_001,Temporal Technology,Any,Special,Timeline Analysis,Time Travel LSW on team,Variable,Temporal Resources,Physics research speeds this up,Understanding time travel mechanics,Temporal Laboratory,Analyze timeline changes and paradoxes,Team gets temporal operation support
TIME_002,Temporal Technology,Any,Special,Paradox Resolution,Timeline Analysis + Time Walker experience,Variable,Temporal Resources,Advanced physics knowledge required,Fixing temporal paradoxes and instabilities,Paradox Engine,Repair timeline damage,Team gets timeline protection
