Template_ID,Template_Name,Combat_Scale,Narrative_Style,Word_Count,AI_Prompt_Template,Variables_Required,Output_Format,Media_Source,Tone,Example_Opening
TEMP_014,Technology Report,Any Level,Tech Analysis,200-250,"Generate a technology analysis of {Technology_Used} during {Combat_Event}. Include technical specifications and implications.",Technology_Used; Combat_Event; Technical_Specifications; Future_Implications,Technology news report,Tech Today,Technical analytical tone,"Advanced technology demonstrated during..."
TEMP_015,Environmental Impact,Any Level,Environmental Report,200-250,"Generate an environmental impact assessment of {Environmental_Damage} from {Combat_Event}. Include ecological concerns.",Environmental_Damage; Combat_Event; Ecological_Concerns; Restoration_Plans,Environmental impact report,Green Planet News,Environmental concern tone,"Environmental scientists assess damage..."
TEMP_016,Political Spin,Any Level,Political Commentary,200-250,"Generate a political commentary on {Political_Implications} of {Combat_Event} from {Political_Perspective}.",Political_Implications; Combat_Event; Political_Perspective; Policy_Recommendations,Political opinion piece,Political Commentary Weekly,Partisan political tone,"This incident clearly demonstrates..."
TEMP_017,Conspiracy Theory,Any Level,Alternative Theory,150-200,"Generate a conspiracy theory about the 'real' causes of {Combat_Event}. Include alternative explanations and hidden agendas.",Combat_Event; Alternative_Explanations; Hidden_Agendas; Conspiracy_Evidence,Conspiracy blog post,Truth Seekers Forum,Paranoid conspiracy tone,"What they don't want you to know..."
TEMP_018,Corporate Response,Any Level,Corporate Statement,100-150,"Generate a corporate public relations statement about {Company_Impact} from {Combat_Event}. Include damage control and liability.",Company_Impact; Combat_Event; Damage_Control; Liability_Management,Corporate press release,Corporate Communications,Corporate defensive tone,"CompanyName regrets the unfortunate..."
TEMP_019,Memorial Service,Character Death,Memorial Coverage,250-300,"Generate a memorial service report for {Fallen_Character} who died in {Combat_Event}. Include tributes and legacy.",Fallen_Character; Combat_Event; Tributes; Legacy_Impact,Memorial coverage,Memorial Times,Respectful memorial tone,"Heroes gather to honor fallen..."
TEMP_020,Victory Celebration,Major Victory,Celebration Coverage,200-250,"Generate a victory celebration report after {Major_Victory} in {Combat_Event}. Include public response and future hope.",Major_Victory; Combat_Event; Public_Response; Future_Hope,Celebration news,Victory News Network,Celebratory hopeful tone,"City celebrates as heroes triumph..."
Variable_Winner,Combat Participant,Character who achieved victory,Name and basic identification of combat victor,Victor of combat encounter,Character name + power description + faction affiliation,Character identification for narrative,Primary protagonist of victory narrative,"Captain Thunder of the USA faction"
Variable_Loser,Combat Participant,Character who was defeated,Name and basic identification of combat loser,Defeated character in encounter,Character name + power description + criminal/enemy status,Character identification for narrative,Antagonist or victim of encounter,"Shadow Strike of the criminal underworld"
Variable_Location,Geographic Setting,Specific location where combat occurred,Detailed location information for context,Combat setting and geographic context,City name + landmark + terrain type + population density,Geographic context for narrative,Setting establishing details,"downtown Metro City near the financial district"
Variable_Property_Damage,Destruction Scale,Amount and type of property damage,Quantified destruction for impact assessment,Environmental destruction measurement,Damage scale + affected structures + estimated costs,Economic impact for narrative,Consequence establishing details,"an estimated $2.3 million in damaged buildings"
Variable_Civilian_Impact,Population Effect,Effect on non-combatant population,Civilian casualties and evacuation data,Population impact measurement,Casualty numbers + evacuation numbers + medical treatment,Human impact for narrative,Humanitarian establishing details,"23 civilians evacuated; 5 minor injuries treated"
Variable_Duration,Time Scale,Length of combat encounter,Combat duration for dramatic effect,Combat pacing information,Combat length + decisive moments + turning points,Pacing information for narrative,Action pacing details,"brutal 15-minute battle that seemed like hours"
Variable_Turning_Point,Dramatic Moment,Key moment that decided combat outcome,Critical action or decision that changed everything,Combat climax identification,Critical action + character decision + power use + environmental factor,Climactic moment for narrative,Dramatic peak details,"when Thunder's lightning struck the water main"
Variable_Aftermath,Consequence Summary,Immediate consequences of combat,What happened immediately after combat ended,Post-combat situation,Medical status + arrests + damage assessment + investigation status,Resolution information for narrative,Conclusion establishing details,"both fighters hospitalized; investigation ongoing"
Format_Newspaper,Output Style,Traditional newspaper article format,Standard news article with headline and byline,Professional journalism style,Headline + byline + lead paragraph + body + conclusion,News media presentation,Professional news format,"HEADLINE: Local Hero Saves Bank / By Reporter Name"
Format_Social_Media,Output Style,Social media post or tweet format,Brief informal description with hashtags,Casual social media style,Brief description + hashtags + emotional reaction,Social media presentation,Casual informal format,"OMG just saw superhero fight downtown! #superhero #downtown #crazy"
Format_Official_Report,Output Style,Government or military report format,Formal official documentation,Professional bureaucratic style,Classification + summary + details + recommendations + appendices,Government document presentation,Official bureaucratic format,"CLASSIFIED: After Action Report - Operation Thunder Strike"
Format_Academic_Paper,Output Style,Scientific journal article format,Scholarly analysis with methodology and conclusions,Academic scientific style,Abstract + methodology + results + discussion + references,Academic presentation,Scholarly research format,"Abstract: Analysis of Enhanced Human Combat Effectiveness"
Format_Legal_Document,Output Style,Court filing or legal brief format,Legal analysis with citations and arguments,Legal professional style,Case number + parties + facts + legal analysis + precedent citations,Legal document presentation,Legal brief format,"Case No. 2024-CV-1234: Plaintiff v. Superhero Defendant"
